slang	formal
nape cocokkk gr apain slmat jink	kenapa  cocok gede rasa apai selamat anjing 
waaaww tngu deeh nanget msti kcil	wow tunggu deh banget harus  kecil
gra2 apz naaaa diluarann	gara-gara apa nya diluaran
kloop mndgn hrsny penyebab2	klop lebih baik harusny penyebab-penyebab
wk sdah kokkk	waktu sudah  kok
passs pcarny maksd	pas pacarnya maksud
gg aaamiiinnn sama2 smpe tipiwan	enggak amin sama-sama sampai  TvOne
bentarr malem terbaiiikkkkk gokilll	bentar malam terbaik gila
hallooo gan kepikiran nyebutin ntar	halo juragan terpikirkan menyebutkan nanti 
gak baguusss imoet crt	tidak  bagus imut cerita 
stu salting smentara cumi	satu salah tingkah sementara Cuma miscall
nawarin katanyaa loe	menawari katanya lo
jem terimaksih niiiihh aaaaaaakkk	jam  terima kasih nih ah
kmbali didengerin cantip tips2 alow iihh	kembali didengarkan cantik tips-tips halo ih
loncattt komen2 sp cannntikk kenyataan2 kaliannn	loncat komen-komen siapa cantik kenyataan-kenyataan kalian
masukin bawa2 trserah stagahhhh	memasukkan bawa-bawa terserah astaga
nnt shap ayooook prsatukn	nanti siap ayo persatukan
brusaha pensaran info kepda srta	berusaha penasaran informasi kepada serta
jdnya telimakacih iiiiiiiiii kaitannha kangeeeennn	jadinya  terima kasih ih kaitannya kangen
hehe fakta2 jls2 buanget	he fakta-fakta jelas-jelas banget
cantikkkkk week ud	cantik wig sudah 
hotx dihpus mepet ilang-in kuaaatt	hotnya dihapus dekat sekali hilangkan kuat
iiihhhh nontoonnn pgn ckck mka	ih menonton ingin  ck maka 
tkg trjd manisnyaaaa lansia sabal jk	tukang terjadi manisnya lanjut usia sabar jika
bnyak ngoceh aduhhhhhhhhh ngasih mnambh	banyak  mengoceh aduh mengasih menambah
komuk tahun2 pipinyaaa stju maho	muka tahun-tahun pipinya setuju manusia homo
tdny nyekar msknya jd	tadinya  menyekar masaknya jadi
amuh belooomm ceritax azekkkk	kamu belum ceritanya asik
sbl sialannn abanggg lohhhh bingiiittzz	sebelah  sialan abang loh banget
woooiiiiiiii asikkk krn amiinnnn rasane ngadu	woy asik karena  amin rasanya  mengadu
oalaaaa jwbn buad	walah jawaban  buat 
nyindirin yl syukaaakkk sna papiii nangiiis	menyindir yang lain suka sana papi menangis
nangiiiiis mmbela kayanya saudra kenalin tirani	menangis membela kayaknya  saudara mengenalkan tiran
diksi okz adl gossip2.an subhanalloh alay	dikasih oke adalah gosip-gosipan subhanallah norak
muuuu ae kek nangiis slh jnj	mu saja kayak menangis salah  janji
ktemu uda smnjak ngemeng liatiii lutuna	ketemu sudah  semenjak mengomong lihat lucunya
ngeuh jelasssss shaaaay adekx	engah jelas say adeknya
kacauuuu krenz kptsan lagian keburu	kacau keren keputusan lagi  terlanjur
cemungudh nama2 guoblok ajjh kamsud cowwyy	semangat nama-nama goblok saja maksud  maaf
ka pans hidupppp	kak fan hidup
ex kamtibmas sendri ithu	mantan keamanan dan ketertiban masyarakat sendiri itu
skrang gosah wanitah aquwh syekaliii ya	sekarang  gak usah wanita aku sekali iya
mengherthii mgu sabaro ksyngn jendesss	mengerti minggu sabar kesayangan janda
bleh duhh trbukti smkin romantiz ngilangin	boleh duh terbukti semakin romantis menghilangkan
kmbl ngumpat2 sempet baso ngebiarin ngabis2in	kembali mengumpat-ngumpat sempat bakso  membiarkan menghabiskan
jgk sbagai perubut kejuu prwtn	juga sebagai perebut keju perawatan
diapain garem gingsungny lagiiii lekong	diapakan garam  gingsulnya lagi laki
nyesek kasiian kesinii ber'expresi mnisss	sesak  kasihan kesini berekspresi manis
ap2 cmn nyebutin nyesel gabisaa	apa-apa hanya  menyebutkan menyesal tidak bisa
bandingin hidiyah donx recommendasi cantiiiikk	bandingkan hidayah dong rekomendasi cantik
b4 gemez smngat jawabanya kaliiii	sebelum gemas semangat jawabannya  kali
tuhhh beginii protestin pokonya	tuh begini protestan pokoknya
mgkin flm tar	mungkin film entar
yowes kepengen bagaimna misal'a	ya sudah ingin  bagaimana misalnya
lgkah2 sambel ampunnnnn ngmgin hy bdampingan	langkah-langkah sambal  ampun mengomongkan hai berdampingan
hngga pollll dstu	hingga pol disitu
barang2 seluru biasaaa	barang-barang seluruh biasa
azeeeek uwee buseett cwo	asik gue buset cowok 
ayahh anak2e bais bisaaa	ayah anak-anaknya habis bisa
nulis jngn bagiin	menulis jangan  bagikan
nyobain adl kesinii kwatir aurot	mencoba adalah kesini kawatir aurat
otw ciumman ngerii edaaann hub fhotonya	on the way ciuman ngeri edan hubungi fotonya
dua2nya cukurrr kcantikan	dua-duanya cukur kecantikan
selmt botakin berbakiti cantiik	selamat botaki berbakti cantik
terharuuu haha sdng smangat ngintip	terharu tertawa sedang  semangat mengintip
yok mslh makn palinf	yuk masalah makan  paling
novembr ente yawda hiri gilaaaa	november anda  ya sudah hari gila
hallooo looh sia2kan	halo loh sia-siakan
gimna ilfil ati2 namax pusingggg	bagaimana tidak suka hati-hati namanya pusing
lg lwt adlh mutusin	lagi  lewat adalah memutuskan
ditutupin cobain cantikkk dimarahin gowes kaaaaaann	ditutupi coba cantik dimarahi mengayuh sepeda kan
kmbang kluar narsis	kembang keluar bangga pada diri sendiri
tren kereeeeen krn	trend keren karena 
sexi2 brani mampuussss gowes	seksi-seksi berani mampus mengayuh sepeda
temenin kpn ciusss maak koplak lutunaa	temani  kapan  serius mak kocak lucunya
kejadianny gx ninggalin	kejadiannya tidak tinggalkan 
mnghina cemburuu dpan	menghina cemburu depan 
uda ngatain tp	sudah  mengatai tapi
ayuk tmpah azekkkk	ayo  tumpah asik
nyetel segitunya smrg	setel  sebegitunya semarang
musda beud makaci bangt2 mulutnyaaa tgk	musyawarah daerah banget terima kasih banget-banget mulutnya tengok
hlg ngantri sekalii khidupan	hilang  mengantri sekali kehidupan
elu ptg yup woooyy	lu penting  ya  woy
lsg fax mcm mukae prcya	langsung  facsimile macam mukanya percaya
ngareppppp orang2nya awk emng sumvahh cipika cipiki	mengharap orang-orangnya awak memang  sumpah cium pipi kanan cium pipi kiri
jdikan ayank bgmana pkai tngu kabag	jadikan sayang bagaimana pakai  tunggu kepala bagian
jwban gatel tutupin dsar mlh pnjual	jawaban gatal  menutupi dasar malah penjual
dl dengarin smbhyg abiz	dulu mendengarkan sembahyang  habis
cemungudh edaaaan ngolokin jwb	semangat edan mengolok jawab
pmbhasan bisya agk knlan mgk	pembahasan bisa agak kenalan mungkin
trgntng aq bilng batesin iyach	tergantung  aku bilang batasi iya
kelas'a uaaasssiiiik ngatur ihh mudaa kmpret	kelasnya asik mengatur ih muda kampret 
miriiippp ntar sebaik2 khan pjg prtamax	mirip nanti  sebaik-baik kan panjang pertamanya
cllw banyak2 kecakepan amiiinn	selalu banyak-banyak kecakapan  amin
mrangkul pemda ngerjain th2	merangkul pemerintah daerah mengerjakan  tahun-tahun
brsyukur telpon enakkkkk sbgi pait guoblok	bersyukur telepon  enak sebagai pahit goblok
bl sbnrny dimarahin	beli  sebenarnya  dimarahi
lemes bloghhh ngentotin anjrit	lemas  goblok senggama anjing
remang2 sbhabat drpada	remang-remang sahabat daripada
bape gemmeeezzz gataunya mng pla ngkkkkkk	bawa perasaan gemas enggak taunya menang  pula mengakak
mudah2 klahiran ndukung pastii koq	mudah-mudah kelahiran mendukung pasti kok
loncatt cntk epe dimasukin ngmps sabi	loncat cantik apa dimasuki ke kampus bisa
mff kecakepan punyaaa slalu pcar	maaf kecakapan  punya selalu  pacar
nyakiti sape prcuma kayaq pg kepeleset	menyakiti  siapa  percuma kayak pergi  kepleset
peduliin cape amin2 iiihhhhh ladenin	mempedulikan capai  amin-amin ih meladeni
duuuhhh ngaji smbil kereen	duh mengaji sambil keren
banpol ketarik iiihhhh trlalu	bantuan polisi tertarik ih terlalu
bulcit tipe2 cekal	omong kosong tipe-tipe cegah tangkal
diksi mhsw buanget	dikasih mahasiswa  banget
tnda sk qaqaaaa luuuaar	tanda suka kakak luar
jangan2 hancurin jauhh	jangan-jangan menghancurkan jauh
hebatt yach klh mikir2 yaak eps	hebat ya kalah  memikir-mikir ya episode 
yaah cew gueeeee clbk bazis	ya cewek gue cinta lama bersemi kembali badan amal
bangkotan kmps pjg	tua kamus  panjang
cengengesan pala mndptkn muuv mkan	tertawa kepala mendapatkan  maaf makan 
ademmm promoo gn brsama	adem promo begini bersama
telefisi mukae kenape	televisi mukanya kenapa 
imuutt gausah teruz	imut tidak usah terus
idiiot ngerendahin akuh allaahh bermaksut bangga2in	idiot  merendahkan aku allah bermaksud membangga-banggakan
renstra bndr bgt lhir	rencana strategis bandar  sangat  lahir
bandes gmna ok	bantuan desa bagaimana  oke
sehat2 brjdh yachhh	sehat-sehat berjodoh ya
kaliii dmnmn gagahx mndg	kali dimana-mana  gagahnya lebih baik
ntn kebayanyaa kdg	nonton  kebayanya kadang 
gtau ketuker mskpn dsna cuman giniin	enggak tau tertukar meskipun disana hanya beginikan
ktanya alissnyaa tsadeest	katanya alisnya sadis
pollll tikung2 jls2 jd'y kaaakk amiiiiiiiiiinnnnnnn	pol tikung-tikung jelas-jelas jadinya kak amin
wat ortunya ad ladenin nentuin	buat orang tuanya ada meladeni menentukan
matany gpp hbs terkenall jancoeg congor	matanya enggak apa-apa habis  terkenal jancuk  mulut
testinya silahkn gak papa	testimoninya silakan tidak apa-apa
dsna ngorbanin tah yowes	disana mengorbankan teh ya sudah
males dimintak tantee terburu2 mateng	malas diminta tante terburu-buru matang 
tamvann tengah2 kemarn ka dalil2 bngun	tampan tengah-tengah kemarin kak dalil-dalil bangun
nyariin mrekaaaa ternodain	mencari mereka ternodai
katrok senenggg mudah2n smentara	kampungan senang mudah-mudahan sementara
pait slalu seruuu orabg nti	pahit selalu  seru orang nanti 
natap aspal faham	menatap asli tetapi palsu paham 
kabor sateny taek nmnya apz ngerampok	kabur satenya  tahi namanya apa merampok
cmpur ngertii ngeliatin cemunguth boker aljasa	campur mengerti melihat  semangat berak asal jadi saja
ntap jng geneeee lengkapp	mantap jangan  begini lengkap
ampe amiiiiin nyasar genggg	sampai amin tersesat geng
amiiinn dblkang ngibul ok daah nangiss	amin dibelakang berbohong oke dah menangis
kagak kerenn gokillllll kepikir	tidak  keren gila terpikir
astagfirrullah ributin cooocok caiank tmn2nya brsama	astagfirullah meributkan cocok sayang teman-temannya bersama
gw smbuh nontonnnn pengen silauuu mdh2an	saya  sembuh  menonton ingin silau mudah-mudahan
tipiwan adek2 lemot mmantab krikil bangetttt	TvOne adek-adek lambat mantap kerikil  banget
kesel cukurrr ndiri bergunaa khwtr imba	kesal  cukur sendiri berguna khawatir  jago sekali
sygku perhatiin hardcore	sayangku  perhatikan keras
hujatann udd aja grunya	hujatan sudah saja  gurunya
amiinnnn ngerebut coz tahun2 taux pukulin	amin merebut karena tahun-tahun taunya pukuli
maksir mnyngkn diam2 kaleee	menaksir menyenangkan  diam-diam kali
ngata2in wlawpun takuuuuut merekaa	mengata-ngatai walaupun takut mereka
sukaaa ati2 slw	suka hati-hati selow
ngebedain dalil2 knlan nganteng tbuh	membedakan dalil-dalil kenalan ganteng tubuh
ngolokin ntappp cini sukakkk bro hubdar	mengolok mantap sini suka saudara laki-laki perhubungan darat
baek dsb komentnya kencqng	baik dan sebagainya komentarnya kencang
kedubes anjg ponpes mkn sdri	kedutaan besar anjing pondok pesantren makin sendiri
mngira dtmbh bhwa maho mauuuuu yuh	mengira ditambah  bahwa manusia homo mau tuh
rupa2nya dmnmn ciusss trbaikk	rupa-rupanya dimana-mana  serius terbaik
cogan khwtr nangiiis	cowok ganteng khawatir  menangis
luthu pasangn bnr2 klwrga	lucu pasangan benar-benar keluarga
k' jendral kaliii nganterin bsa	kak jenderal kali mengantarkan bisa 
cerdass gaprgi nuntut jdnya	cerdas enggak pergi menuntut jadinya 
hadahhhhhhhh ngumpul pling	aduh berkumpul paling
sebenernya gi kpgn	sebenarnya  lagi ingin 
kaaa kasat mdh2an laki2 khdpn bangga2in	kak kepala satuan mudah-mudahan laki-laki kehidupan membangga-banggakan
kelus lagihh smbh nguburin	kali lagi sembuh  menguburkan
jamam bngetttt apasih lanjutin satupunn mskpn	jaman banget apa sih lanjutkan satupun meskipun
mintk kyny gamasuk malu2in seruu kebagi	minta sepertinya  tidak masuk malu-malui seru terbagi
nyari org2 kharismanya serem2	mencari orang-orang karismanya seram-seram
keak diakibtkn kusem kpgn kata2nya pakke	kayak diakibatkan kusam ingin  kata-katanya pakai
ketauan djkt dipikirin mamz qm	ketahuan di jakarta  dipikirkan makan kamu
tante2 cama-cama dngar nungguin aaaaahhhh mahhhh	tante-tante sama-sama dengar  tunggu  ah mah
bnrn tercyduk bnggain sudab cibuq	benaran terciduk banggakan sudah sibuk
cimeng kaliannn ngalahin gakusah	ganja kalian mengalahkan enggak usah
seterong smbuh ru rpt2 trkena ngalah	setrong sembuh  baru repot-repot terkenal mengalah
ka serem akhlah nyantai kata2nya	kak seram akhlak santai  kata-katanya
smpt doa2 migas	sempat doa-doa minyak dan gas bumi
ad bnern sprti	ada benaran seperti
penyebab2 gakkk canti dimintak	penyebab-penyebab enggak cantik diminta
lagii kanwil pahalax met macem ingi	lagi kantor wilayah pahalanya selamat macam ingin
mksud doang genittt	maksud saja  genit
m lahhh kamyuhhh bnchi brsyukur	sama lah kamu benci bersyukur
edannn lum hari2	edan belum hari-hari
brjodoh cpat mndi amiiiin cantikkkkkkkk	berjodoh cepat  mandi  amin cantik
pahamin cantiiiiiiik ngejilat kanggggg kdpn lamp	pahami cantik menjilat kang ke depan lampiran
bertatto dimandose ucul iyaappps buruann	bertato dimana lucu iya buruan
staf2nya bonyok mancing2	staf-stafnya ayah ibu memancing-mancing
adain mbaa abeees	mengadakan mbak habis
biasaaaa novembr bkln bisax	biasa november bakalan bisanya
hijap pentass naaaaahh	hijab pentas nah
tu iyain emeshh dkmr	itu  mengiyakan  gemas di kamar 
hidupx gataunya ywdh lgsg sni prodaknya	hidupnya enggak taunya ya sudah langsung  sini  produknya
yeuh gemmeeezzz celalaw aduhhhhhhhhh mehoonggggg soale	ya gemas selalu aduh mahal soalnya 
prh tenggah cllu	parah tengah selalu
ngumpet2 bikinin smngt	mengumpet-ngumpet bikin semangat 
iiihhhhh gtau tmsk kebukaaa	ih enggak tau termasuk  terbuka
manies epe itungan sja	manis apa hitungan saja 
jauuhhh mamax qu berdikari smbil stiap	jauh mamanya ku berdiri di atas kaki sendiri sambil setiap
ngakak mauuuuuu cug permasalhkan idk perilakuny	terbahak-bahak  mau jancuk  permasalahkan saya tidak tahu perilakunya
dee gimn brsama heii np	dek bagaimana bersama hai now playing
donkk nyadar trusan.a berani2	dong menyadari terusannya berani-berani
kutuu sumvahh ktg kabor	kutu sumpah kita kabur
ae azeeeek soalx	saja asik soalnya
nangis goblk dimana2 apa2 dibikin2 yaak	menangis goblok dimana-mana apa-apa dibikin-bikin ya
yakinn rapih bangeeeeetttt	yakin rapi banget
krikil itumah ktaa merhatiin gayax teruzzz	kerikil  itu  kita memperhatikan  gayanya terus
oom niihh kpan sabi	om nih kapan  bisa
kimpoi model2 inggat byangin	kawin model-model ingat membayangkan
nii mantanny apaalahh	ini mantannya apalah
trmanis terimaksih masa2 maak	termanis terima kasih masa-masa mak
niiiihh drmn dsar	nih darimana dasar
yaolohh smngt yawda	ya allah semangat  ya sudah
apah kna dasarrr faham sesatt sprti	apa  kena  dasar paham  sesat seperti
duuuhh suces benerin ngelewati mauuuuuuu	duh sukses perbaiki melewati mau
parsis alay ituuuu	persis norak itu
lwn nda ktg kdang namany pemainy	lawan tidak kita kadang namanya pemainnya
bertahun2 gueeeee sukak	bertahun-tahun gue suka
udehh bnr pi	sudah benar  tapi
nanya bangettttt seindonesiyah andaaa waaa cntiknya	tanya banget seindonesia anda wah cantiknya
psangan perhatiin bantuim ngntr cantika kauuuu	pasangan perhatikan bantu ke kantor cantik kau
ksni benahin sehat2	kesini membenahi sehat-sehat
apa2nya tmpat looo	apa-apanya tempat  loh
dhe nih2 teriakk lutunaa naksir	deh nih-nih teriak  lucunya menaksir
keberpa nntn ja love kaitannha	keberapa nonton  saja cinta kaitannya
aamiiiiinnn dengeeriin dwsa kereen cp skali2	amin dengarkan dewasa keren siapa sekali-kali
woles ketawaa indefendet gi yep ngelewati	selow ketawa independen lagi ya melewati
bronis emakx tambahin klo pljaran kykny	brondong manis emaknya tambahkan kalo pelajaran sepertinya 
aloh slmt okeh	allah selamat  oke
banger beratttttttt ko	banget berat kok
lum donkk kangeeeeennn krn imutt	belum dong kangen karena  imut
tinggall kcantikan markus ampunn pmbyran paz	tinggal kecantikan makelar kasus ampun pembayaran pas
bais mnrt cabut nggk maauuu	habis menurut pergi tidak  mau
tinggl sadis2 de kam	tinggal sadis-sadis dek kamu
tai maho ngumbar suaminga	tahi manusia homo mengumbar suaminya
ampe romantisny ninggalin pantesan suaraynyaa	sampai romatisnya tinggalkan  pantas  suaranya
ciyus nnt garuk2 jnda	serius nanti garuk-garuk janda
buuun ngfans temen2 perhatiin	bun fan teman-teman perhatikan
mngasi tunjukin ntr catiiiiik sembuhin	mengasih tunjukkan nanti  cantik sembuhkan 
brani kelas'a kepikir tehh tanya2 critamu	berani kelasnya terpikir teh tanya-tanya ceritamu
yaudah cali ajaibb	ya sudah caci ajaib
sampis mmbela gkk awal2	sampah habis membela enggak awal-awal
kamuwh pdahal cewer	kamu padahal jewer
aamiinin samsek huum	amin sama sekali iya
tembemmm brsma ciumman stju	tembem bersama ciuman setuju
tuhhh bandingin maslah endak kuq msuk	tuh bandingkan masalah tidak kok masuk
sempurnaaaaa rata2 sbtr okeh bhubu waaawwww	sempurna rata-rata sebentar  oke tidur wow
huff ktmu biarin lengkapp	mengeluh ketemu  biarkan lengkap
okeh smngt sambel	oke semangat  sambal 
isengin cobaaaa cppe adkah	bercanda coba capek adakah
lelaahh dbuat ngayal keak ngkkkkkk	lelah  dibuat mengkhayal kayak mengakak
segtu ngolokin q ber'expresi deeh	sebegitu mengolok saya berekspresi deh
ciusss linmas nelfon	serius perlindungan masyarakat menelepon
alkhamdulilah tau2 heters pandanginya	alhamdulillah tau-tau pembenci  memandanginya
dilaporkn arghhh karoke	dilaporkan ah karaoke 
next buktinyaaa bsk selaw kaga clbk	lanjut buktinya besok santai kagak cinta lama bersemi kembali
bapeerr wenak gde artis2 kebnyak'an	bawa perasaan enak gede artis-artis kebanyakan
buruann cin amen ketarik	buruan cinta amin tertarik
laen temen-temen polantas qaqa	lain teman-teman polisi lalu lintas kakak
z bangkret salehah solve fotbar banggain	saja bangkrut salihah solusi foto bareng banggakan
trkdng skrang garuk2 slw syang	terkadang  sekarang  garuk-garuk selow sayang
ancurrr muup astul mngira tapii	hancur maaf asal tulis mengira tapi
ngisi ala2 dy manteb ilang2an	mengisi ala-ala dia mantap hilang-hilangan
hrus semangattt amiiiiin gi bagi2 d	harus  semangat amin lagi bagi-bagi ada
happy ceper muliany dureen	bahagia pendek mulianya duren
sppa elaaaahhhh apz apz mnutup	siapa alah apa apa menutup
sedihh ngomentarin ciumman	sedih mengomentari ciuman
ilang tambahim kuq ngerendahin	hilang tambahkan kok merendahkan
pljrn ajaibbbbb sering2	pelajaran ajaib sering-sering
capcus hadirrr ehhh	pergi hadir eh
makny pantes peragain tnggl pegang2	maknya pantas peragakan tanggal pegang-pegang
faktakta tuuu mantaap	fakta itu mantap
amiiiiiiiiiiin bhgiain kyak muker keren2 taon	amin membahagiakan seperti  musyawarah kerja keren-keren tahun
cuyyy kanggggg disupirin prsatukn madesu comen2nya	cuy kang disopiri persatukan masa depan suram komen-komennya
nyalahin ngom apasihhh	menyalahkan mengomong apasih
ngebully bgo shayyy	intimidasi bego say
kereeeen berangat telmi	keren berangkat telat berpikir
gasalah mateeeeeeeeeeee hiri jirr masakin tsangka	enggak salah mati hari anjir masakan  tersangka
rusakkk sbhabat gemesnya erempuan eeq	rusak sahabat gemasnya perempuan feses 
hbskn nusuk te2p mnrt kepingin	habiskan  menusuk tetap menurut ingin
simpen nawarin mbaaa nyamain hayalanku jt	simpan menawari mbak menyamakan khayalanku juta
tdk rpt2 imba akutu	tidak  repot-repot jago sekali saya
btuh nimpuk mnding lagiiii hbis temenan	butuh menimpuk mending lagi habis  berteman
sdkt bhagia najiss maksir paripurnahh looo	sedikit bahagia najis menaksir paripurna loh
bungkuuuuuuuuusss kebayang sk gemesss	bungkus terbayang suka gemas
terkenall ngebala ketawain	terkenal bala mentertawakan
kemuh bujubune cek2 menghilangkn	kamu luar biasa cek-cek menghilangkan
kata2nya pndukung ntr mnilai brarti waaawwww	kata-katanya pendukung nanti  menilai berarti wow
suaranyaa dituutup sempurnaa ahhhh	suaranya ditutup sempurna ah
ciuuuummmm sptny mdh aduhhh	cium sepertinya  mudah  aduh
salahin cantk skr kaakaaaa ngobatin emang	salahkan cantik sekarang kakak obati  memang 
tercyduk kelaluan kencng	terciduk kelakuan kencang
ko bangt2 yap gdg kaliannnnnn	kok banget-banget ya gudang  kalian
sunggu skedar kdg kamuu amohhh tau	sungguh sekadar kadang  kamu kamu tahu 
kec tapii nyimpen	kecamatan tapi menyimpan
bingitt paraa hijabb katrok liatnyaaa	banget para hijab kampungan lihatnya
orang2 slhkn jijay ghiy	orang-orang salahkan  jijik lagi
mngikuti bingiit gimn	mengikuti banget bagaimana
dpan bangets berbakiti	depan  banget berbakti
ngejelek2in crt nih	menjelek-jelekkan cerita  ini
boljug gmbr aloh prlu ntap dptnya	boleh juga gambar  allah perlu mantap dapatnya
padet menyenangkn ibliss sbnrnya renstra	padat menyenangkan iblis sebenarnya  rencana strategis
drumah diputusin bneran caper komsov siapaa	di rumah diputuskan benaran cari perhatian komunis sovyet siapa
gan mksh ddlm kmps kbiasaan	juragan terima kasih di dalam kamus  kebiasaan
sayy caantiiik burem peragain	sayang cantik buram peragakan
tuir nd samoga nama2 lov mndptkn	tua indak semoga nama-nama cinta mendapatkan 
gombal pipine lagu2	suka merayu pipinya lagu-lagu
seklian blm kaliii ngambekan sgitu berpa	sekalian belum  kali ambekan segitu  berapa
nyiram mrusak sgtu	menyiram merusak sebegitu
bosaan huff grgr padhe	bosan mengeluh gara-gara pakde
koplak bngt amiinn gokil liat so	kocak sangat  amin gila lihat sok
jpn yhaaa pengennn cman	jepang  ya ingin hanya 
gagahx gangguin orang2 bergunaa brhasil	gagahnya mengganggu orang-orang berguna berhasil
penghianat loksyut gt cantiknyaa mndpt tante2	pengkhianat  lokasi syuting begitu  cantiknya mendapat tante-tante
keciill kabor nyukur gmpg lcu	kecil kabur cukur  gampang lucu
aduhh ikh bnyak payahh gakpapa	aduh ih banyak  payah enggak apa-apa
sbnr komen2 pkee trnyata bo'ong	sebenarnya  komen-komen pakai ternyata bohong
hbskn gosah expresi hidupx aamiiin pcrnya	habiskan  gak usah ekspresi hidupnya amin pacarnya
mknya dtunggu kamuh abgnyaah cempreeng ngebantu	makanya ditunggu kamu abangnya cempreng membantu
gkk ily lhat ati2	enggak saya cinta kamu  lihat hati-hati
krenz bsen bujukk bisi seehh	keren bosan bujuk kalau-kalau sih
liyatnya drumah emk	lihatnya di rumah emak
artist2 benet hilangin pucing	artis-artis benar menghilangkan pusing
dpt njayyy cwnya ngerebut2	dapat  anjay ceweknya merebut-rebut
kalogak low sud tsadeest ingetin	kalo enggak kalau sudah sadis mengingatkan
light say suaraynyaa	terang sayang suaranya
klo mgu blkngny skali ada2 ngebelain	kalo minggu belakangnya  sekali ada-ada membela
slm bnrbnr segerr tf ngepoin aee	salam benar-benar  segar transfer mengepoi saja
ingetin yu ortuny dimusiumin serasiii	mengingatkan yuk orang tuanya dimuseumkan serasi
lagihh diliatnya terbaeeeek jdnya	lagi dilihatnya terbaik jadinya 
mksh amit2 mslhnya utkmu sambel muuuu	terima kasih amit-amit masalahnya untukmu sambal  mu
bets djkt klihatan	banget di jakarta  kelihatan
gtu iyaaa percya	begitu  iya percaya
ngurusan tangkep ksih njirrr togel	mengurusi tangkap kasih  anjir toto gelap
numpuk nyebur elu	bertumpuk mencebur lu
masing2 gj sndiri abal2 lafazd	masing-masing tidak jelas sendiri  abal-abal lafaz
sewain becanda cibuk y	menyewa bercanda  sibuk ya
emakx sok2 dureen kakkk	emaknya sok-sok duren kak
stiap gakpapa cubanget muraaaaah	setiap enggak apa-apa lucu banget murah
diapa2in iyuuuhhhh kabor tuuuuh syp	diapa-apai ih kabur tuh siapa
tuuh sukaaaa malming	tuh suka malam minggu
kereeeeennnn liaatt sinetron	keren lihat sinema elektronik
nt hayukk hatiiii	nanti hayo hati
ja gda mengherthii bentarr kpada	saja enggak ada mengerti bentar kepada
nyukur dalem kubarikan	cukur  dalam  kuberikan
dehh caem alloh nekolim	deh cakep allah neokolonialisme
nyah uplot kuper romantisny b4 ngerii	nya unggah kurang pergaulan romatisnya sebelum ngeri
yaoloh tengok syantiiiiikkkkkkkkkkkk	yaallah menjenguk cantik
skitar tempat2 kpada enk taon pelatnas	sekitar tempat-tempat kepada enak tahun pemusatan latihan nasional
lutunaa akuh paraa tukeran	lucunya aku para tukar 
bknnya bres nd gtu	bukannya beres indak begitu 
dteng teguran2 disupirin ucul brg2 hat	datang teguran-teguran disopiri lucu bareng-bareng hati
ngetik berntung anugrah pait	mengetik beruntung anugerah pahit
mw ngebelain sukur2	mau  membela sukur-sukur
anak2 pa msg britanya coeg hslnya	anak-anak apa masing  beritanya jancuk  hasilnya
sumpek gemez trlalu astgfrlh	sempit gemas terlalu astagfirullah
tampialannya battt layan kberkahn	tampilannya banget layanan keberkahan
seeh muka2 negri wawwwww gmna bund	sih muka-muka negeri wow bagaimana  bunda
lau lahh bgt mane	kau lah sangat  mana 
past ngulangin garuk2	pasti mengulangi garuk-garuk
akn haduh ngejatuhin kn	akan aduh manjatuhkan kan 
massss emank lbihh	mas memang  lebih
sklinyaa cantiikkkk beti jelek2in yaudh aza	sekalinya cantik beda tipis menjelek-jelekkan ya sudah saja
brg2 blom tinggall kyny pk amiend	bareng-bareng belum  tinggal sepertinya  pakai amien
kri kepelesett muker	kiri terpeleset musyawarah kerja
thanks malming kata2 terbaeq	terima kasih malam minggu kata-kata terbaik
maki2 subhannallah kudu hlm tante2 mhsw	maki-maki subhanallah harus halaman  tante-tante mahasiswa 
cantika cuco ampuuunn	cantik cocok ampun
bget kecantikanga hijap luucuuu ngedukung	sangat  kecantikannya hijab lucu mendukung
cem btg ngerasain	macam batang  merasakan 
foto2 nape mabal td heeee yuuks	foto-foto kenapa  bolos tadu  hai yuk
campurin amploppp nyari kndung gayannxa	mencampuri amplop mencari kandung gayanya
berbeda2 kyk capa	berbeda-beda seperti  sapa
taek jerewi sbntr bae mnrt lutuna	tahi jerawat sebentar  baik  menurut lucunya
foto2 syratnya mesrany baik2	foto-foto syaratnya mesranya baik-baik
diamkn mager heii	diamkan malas bergerak hai
ampunnnnn yukk duetin kenalin	ampun yuk duet mengenalkan
bulet lawaaaas kreean banger sekolahin kangennnnnnn	bulat lawas keren banget sekolahkan kangen
tampialannya helooooo jkt ngk	tampilannya halo jakarta tidak 
menghilangkn jh gilak perhatiin mndgr ngebela	menghilangkan saja gila  perhatikan mendengar  membela
maau sndri mhn gebleg dongggg	mau sendiri  mohon geblek dong
bu_bu kere ngumbar2 dtnggu kemuh	tidur tidak punya uang mengumbar-umbar ditunggu kamu
saltum iyo nyebut2 ngasih	salah kostum iya menyebut-nyebut mengasih
ajep-ajep hrgny anjimmm ksenangan	dunia gemerlap harganya  anjing kesenangan
galo dinyanyiin kecantikanga kamuu astagfirullh	galau  dinyanyikan kecantikannya kamu astagfirullah
gueee bertolernsi kl bingitzzzz mehoonggggg yaoloh	gue bertoleransi kalau  banget mahal yaallah
wktunya slama hadirr	waktunya selama hadir
